Country,Name,Name2,GDP Per Capita,PV Capacity Per Capita
China,CHN,CHN,4.11231,-0.34245
United States,USA,USA,4.90866,-0.1435
India,IND,IND,3.40314,-1.45709
Germany,DEU,DEU,4.7386,0.00422
Japan,JPN,JPN,4.52938,0.03987
Spain,ESP,ESP,4.52496,-0.11412
Australia,AUS,AUS,4.8133,0.34934
Mexico,MEX,MEX,4.14179,-0.808
Brazil,BRA,BRA,4.0161,-0.54667
Chile,CHL,CHL,4.23216,-1.21546
Turkey,TUR,TUR,4.1263,-0.46131
Italy,ITA,ITA,4.59414,0.11757
United Kingdom,GBR,GBR,4.69849,-0.68883
France,FRA,FRA,4.65031,-0.4309
Viet Nam,VNM,VNM,3.63582,-0.82097
South Africa,ZAF,ZAF,3.78062,-0.2904
Korea,KOR,KOR,4.55235,-0.32054
Ukraine,UKR,UKR,3.71093,-1.34608
United Arab Emirates,ARE,ARE,4.69767,-1.19651
Egypt,EGY,EGY,3.53867,-1.61366
Thailand,THA,,3.85704,-0.54325
Netherlands,NLD,,4.80288,0.04649
Canada,CAN,,4.73416,-0.61898
Romania,ROU,,4.26113,-0.7924
Hungary,HUN,,4.34695,-0.2821
Argentina,ARG,,4.15418,-1.25167
Denmark,DNK,,4.83279,-0.74898
Czech Republic,CZE,,4.5019,-0.57895
Bulgaria,BGR,,4.20012,-0.22378
Russian Federation,RUS,,4.15104,-1.49958
Portugal,PRT,,4.44145,-0.10468
Saudi Arabia,SAU,,4.55819,-1.28468
Greece,GRC,,4.36817,-0.25416
Pakistan,PAK,,3.13364,-0.99713
Philippines,PHL,,3.58025,-1.4299
Malaysia,MYS,,4.05637,-0.55611
Israel,ISR,,4.71603,-0.36978
Qatar,QAT,,4.91284,-0.83504
Kazakhstan,KAZ,,4.1099,-1.4657
Belgium,BEL,,4.74266,0.02084
Peru,PER,,3.89694,-1.84484
Cambodia,KHM,,3.38556,-2.58418
Honduras,HND,,3.50886,-0.9234
Morocco,MAR,,3.58135,-1.09051
Jordan,JOR,,3.64993,-0.17285
Poland,POL,,4.34528,-0.79159
Slovakia,SVK,,4.3912,-0.62286
El Salvador,SLV,,3.72961,-1.0197
Algeria,DZA,,3.73001,-1.42301
Austria,AUT,,4.75266,-0.07182
Belarus,BLR,,3.89745,-1.61889
Panama,PAN,,4.27409,-0.8235
